nummer,name,geschlecht,verein,geburtsjahr
001,Ben Müller,m,SV Poseidon,2010
002,Anna-Lena Schneider,w,Wasserfreunde,2009
003,Clàra Méndez,w,,2011
004,Maximilian,m,Delphin 08,
005,Léa Dubois,w,SV Delphin,2012
006,Tom O'Connor,m,,2010
007,Lisa Weiß,w,Wasserfreunde,2008
008,Paul Šimić,m,Neptun Köln,2011
009,Emma-Maria Krüger,w,,2010
010,Noah Zhang,m,TSV Schwimmclub,2009
011,Tim Méndez,m,,2009
012,Clara Zhang,w,TSV Schwimmclub,2007
013,Mia Méndez,w,SV Poseidon,2011
014,Emma Müller,w,Delphin 08,2013
015,Lina Schneider,w,SV Delphin,2011
016,Maximilian,m,SV Poseidon,2006
017,Léa Dubois,w,,2006
018,László Nagy,m,Neptun Köln,2012
019,Jiří Novák,m,,
020,Mia Méndez,m,,2012
021,Léa Dubois,w,Wasserfreunde,2009
022,Džesika Kalniņa,m,TSV Schwimmclub,
023,Maximilian,m,,2008
024,Tim Méndez,w,,
025,Lisa Weiß,m,,
026,Lina Schneider,m,Wasserfreunde,
027,Noah Zhang,w,SV Delphin,
028,Ole-Jørgen Berg,w,SV Delphin,2013
029,Ben Müller,w,TSV Schwimmclub,2013
030,Džesika Kalniņa,w,Delphin 08,2013
031,Emma Müller,w,Wasserfreunde,
032,Ben Müller,m,TSV Schwimmclub,2011
033,Åsa Svensson,m,Neptun Köln,
034,Ben Müller,m,SV Poseidon,2006
035,Maximilian,w,SV Delphin,2013
036,Zoë Schmidt,w,Neptun Köln,2011
037,Paul Šimić,m,TSV Schwimmclub,
038,Ole-Jørgen Berg,m,SV Poseidon,
039,Chloé Lemoine,w,TSV Schwimmclub,
040,Anna-Lena Schneider,w,Wasserfreunde,2006
041,José García,m,Neptun Köln,2013
042,Ole-Jørgen Berg,m,SV Delphin,2008
043,Chloé Lemoine,m,,2006
044,Chloé Lemoine,w,Neptun Köln,2006
045,László Nagy,m,Delphin 08,
046,Clàra Méndez,w,Delphin 08,2006
047,Anna-Lena Schneider,m,TSV Schwimmclub,2011
048,Tom O'Connor,w,SV Delphin,
049,Ben Müller,m,TSV Schwimmclub,2006
050,Tom O'Connor,w,Delphin 08,2013
051,Noah Zhang,m,SV Poseidon,
052,Chloé Lemoine,w,TSV Schwimmclub,2011
053,László Nagy,w,TSV Schwimmclub,
054,Mārtiņš Bērziņš,m,Delphin 08,2013
055,László Nagy,m,Wasserfreunde,2006
056,Paul Šimić,w,SV Delphin,2013
057,Anna-Lena Schneider,m,SV Poseidon,
058,Zoë Schmidt,w,SV Delphin,
059,László Nagy,m,SV Poseidon,2006
060,Zoë Schmidt,m,Neptun Köln,
061,Emma-Maria Krüger,w,,
062,László Nagy,w,SV Delphin,
063,Clara Zhang,w,TSV Schwimmclub,
064,Jiří Novák,m,,
065,Clara Zhang,w,,2013
066,Ben Müller,m,SV Delphin,2010
067,Emma Müller,m,Delphin 08,
068,José García,w,SV Delphin,
069,Ole-Jørgen Berg,m,Wasserfreunde,
070,Emma-Maria Krüger,m,Delphin 08,
071,Džesika Kalniņa,w,Delphin 08,
072,Mia Méndez,m,Neptun Köln,2013
073,Emma-Maria Krüger,m,Wasserfreunde,2007
074,Emma Müller,w,,
075,Paul Šimić,w,,
076,Noah Zhang,m,Neptun Köln,2013
077,Tim Méndez,w,SV Poseidon,
078,Åsa Svensson,w,,2009
079,Tim Méndez,w,Neptun Köln,
080,Clara Zhang,w,Wasserfreunde,2011
081,Anna-Lena Schneider,m,SV Delphin,
082,Tom O'Connor,m,Neptun Köln,
083,Ole-Jørgen Berg,w,SV Poseidon,
084,Tim Méndez,w,Delphin 08,
085,Mia Méndez,m,SV Delphin,2006
086,Emma Müller,w,SV Delphin,
087,László Nagy,w,Delphin 08,
088,Emma-Maria Krüger,w,Neptun Köln,
089,Clàra Méndez,m,Delphin 08,
090,José García,w,Neptun Köln,2009
091,Džesika Kalniņa,w,Delphin 08,2006
092,Zoë Schmidt,w,TSV Schwimmclub,
093,José García,m,Neptun Köln,
094,Lisa Weiß,m,SV Poseidon,2007
095,Mia Méndez,w,Delphin 08,
096,Clara Zhang,w,Neptun Köln,
097,Emma-Maria Krüger,m,,
098,Åsa Svensson,m,TSV Schwimmclub,
099,Chloé Lemoine,w,Delphin 08,2013
100,Clara Zhang,m,Wasserfreunde,2008
101,Emma-Maria Krüger,w,SV Poseidon,
102,Tim Méndez,m,Neptun Köln,2009
103,Zoë Schmidt,w,SV Poseidon,2006
104,Emma Müller,m,TSV Schwimmclub,2010
105,Anna-Lena Schneider,w,Delphin 08,
106,Clàra Méndez,m,SV Delphin,
107,Tim Méndez,w,,
108,José García,m,,
109,José García,m,Delphin 08,2013
110,Paul Šimić,w,TSV Schwimmclub,2009
111,Zoë Schmidt,m,Delphin 08,2013
112,Clàra Méndez,m,SV Delphin,
113,Tim Méndez,w,Wasserfreunde,2011
114,Lisa Weiß,m,Delphin 08,
115,Tim Méndez,w,Neptun Köln,
116,Noah Zhang,w,Wasserfreunde,2012
117,László Nagy,m,SV Delphin,2007
118,Ole-Jørgen Berg,m,TSV Schwimmclub,2007
119,Noah Zhang,w,Delphin 08,
120,Chloé Lemoine,m,,
121,José García,m,Wasserfreunde,2009
122,Džesika Kalniņa,w,Wasserfreunde,
123,Džesika Kalniņa,w,Neptun Köln,
124,Lisa Weiß,m,Neptun Köln,
125,Mia Méndez,m,SV Poseidon,
126,Tom O'Connor,m,SV Poseidon,2010
127,Lina Schneider,w,TSV Schwimmclub,
128,Lisa Weiß,m,SV Delphin,2008
129,Lina Schneider,w,,2007
130,Anna-Lena Schneider,w,Delphin 08,
131,Paul Šimić,w,SV Delphin,2006
132,Tom O'Connor,m,SV Poseidon,
133,Ben Müller,m,Neptun Köln,2006
134,Åsa Svensson,w,Wasserfreunde,2007
135,Mārtiņš Bērziņš,w,TSV Schwimmclub,
136,Chloé Lemoine,m,SV Poseidon,
137,Clàra Méndez,m,,
138,Zoë Schmidt,m,TSV Schwimmclub,
139,Mārtiņš Bērziņš,m,Wasserfreunde,2008
140,Chloé Lemoine,w,Wasserfreunde,2010
141,Chloé Lemoine,w,TSV Schwimmclub,
142,Clàra Méndez,m,SV Delphin,
143,José García,m,Neptun Köln,
144,Džesika Kalniņa,m,SV Poseidon,
145,Léa Dubois,m,Delphin 08,2010
146,László Nagy,w,TSV Schwimmclub,
147,José García,w,Delphin 08,
148,Tim Méndez,m,SV Poseidon,2008
149,Jiří Novák,m,TSV Schwimmclub,2009
150,Lina Schneider,m,Neptun Köln,
151,Emma-Maria Krüger,m,SV Poseidon,
152,Clara Zhang,w,Delphin 08,2008
153,José García,w,,2009
154,Paul Šimić,m,,2013
155,Anna-Lena Schneider,w,TSV Schwimmclub,
156,Chloé Lemoine,w,SV Poseidon,2007
157,Džesika Kalniņa,m,Wasserfreunde,
158,Léa Dubois,w,TSV Schwimmclub,
159,Tim Méndez,w,Delphin 08,2009
160,Clara Zhang,w,Delphin 08,2007
161,Maximilian,m,Delphin 08,
162,Mārtiņš Bērziņš,w,SV Delphin,
163,Jiří Novák,w,Delphin 08,2008
164,Emma-Maria Krüger,m,Delphin 08,2010
165,Emma-Maria Krüger,w,Wasserfreunde,
166,José García,w,Neptun Köln,2006
167,Léa Dubois,m,Neptun Köln,
168,Tim Méndez,w,,
169,Mārtiņš Bērziņš,m,,
170,José García,m,SV Delphin,2008
171,Léa Dubois,m,Neptun Köln,
172,Clàra Méndez,m,SV Poseidon,2006
173,Anna-Lena Schneider,w,SV Delphin,2012
174,Anna-Lena Schneider,w,Neptun Köln,
175,László Nagy,w,SV Delphin,
176,Lina Schneider,m,Wasserfreunde,
177,Tim Méndez,m,TSV Schwimmclub,2010
178,Džesika Kalniņa,w,,
179,László Nagy,w,TSV Schwimmclub,
180,Mia Méndez,w,Neptun Köln,
181,Tim Méndez,m,Wasserfreunde,2008
182,Ben Müller,w,SV Delphin,
183,Léa Dubois,w,Neptun Köln,2008
184,Åsa Svensson,m,SV Poseidon,
185,Jiří Novák,m,Neptun Köln,2012
186,José García,w,TSV Schwimmclub,2013
187,László Nagy,w,TSV Schwimmclub,
188,Tom O'Connor,w,Delphin 08,2010
189,Clàra Méndez,m,Wasserfreunde,2012
190,Džesika Kalniņa,m,SV Delphin,2006
191,Chloé Lemoine,w,SV Poseidon,
192,Léa Dubois,w,SV Delphin,2010
193,Anna-Lena Schneider,w,SV Delphin,
194,Tom O'Connor,m,SV Poseidon,
195,Lina Schneider,m,SV Poseidon,
196,Zoë Schmidt,m,Neptun Köln,2012
197,José García,m,,
198,Åsa Svensson,w,TSV Schwimmclub,
199,Clara Zhang,m,SV Poseidon,
200,Åsa Svensson,m,SV Delphin,2008
201,Chloé Lemoine,m,SV Delphin,
202,Anna-Lena Schneider,w,Delphin 08,
203,Léa Dubois,w,SV Poseidon,
204,Noah Zhang,w,SV Delphin,
205,Jiří Novák,w,TSV Schwimmclub,2010
206,Ole-Jørgen Berg,w,Neptun Köln,2011
207,Tim Méndez,m,SV Poseidon,
208,Mārtiņš Bērziņš,m,TSV Schwimmclub,
209,Anna-Lena Schneider,w,Neptun Köln,
210,Jiří Novák,m,Delphin 08,
211,Lisa Weiß,w,SV Delphin,2012
212,László Nagy,m,SV Delphin,
213,Jiří Novák,w,Delphin 08,2013
214,Clara Zhang,m,TSV Schwimmclub,2006
215,Noah Zhang,m,Wasserfreunde,2006
216,Léa Dubois,m,Wasserfreunde,
217,Emma-Maria Krüger,w,,2011
218,Tom O'Connor,m,SV Poseidon,
219,Lina Schneider,m,TSV Schwimmclub,2013
220,Maximilian,m,,
221,Noah Zhang,m,,2008
222,Jiří Novák,m,TSV Schwimmclub,
223,Noah Zhang,w,SV Delphin,2011
224,Jiří Novák,w,Delphin 08,
225,Chloé Lemoine,w,Wasserfreunde,
226,Åsa Svensson,m,SV Poseidon,
227,Maximilian,w,Wasserfreunde,2010
228,Clàra Méndez,w,,
229,José García,m,TSV Schwimmclub,
230,Paul Šimić,m,Neptun Köln,
231,Clara Zhang,w,SV Delphin,
232,Paul Šimić,m,,2013
233,Åsa Svensson,m,Delphin 08,2011
234,Åsa Svensson,w,TSV Schwimmclub,2013
235,Emma-Maria Krüger,w,Neptun Köln,2012
236,Maximilian,w,Wasserfreunde,
237,Tom O'Connor,w,SV Poseidon,
238,Maximilian,m,Wasserfreunde,2012
239,Jiří Novák,w,TSV Schwimmclub,2012
240,Ben Müller,m,SV Delphin,
241,Mārtiņš Bērziņš,m,Wasserfreunde,
242,Džesika Kalniņa,w,Neptun Köln,2010
243,José García,m,Neptun Köln,
244,Zoë Schmidt,w,TSV Schwimmclub,
245,László Nagy,m,SV Delphin,
246,Lisa Weiß,w,TSV Schwimmclub,2011
247,Noah Zhang,m,Neptun Köln,
248,Léa Dubois,w,SV Delphin,2009
249,Paul Šimić,w,Delphin 08,2007
250,Noah Zhang,w,,2013
251,László Nagy,w,SV Poseidon,
252,Džesika Kalniņa,w,SV Delphin,2006
253,Džesika Kalniņa,m,Neptun Köln,
254,Džesika Kalniņa,m,SV Delphin,
255,José García,w,Neptun Köln,2006
256,Paul Šimić,w,SV Delphin,2013
257,Lina Schneider,m,Neptun Köln,
258,Noah Zhang,w,Delphin 08,
259,Tim Méndez,m,Neptun Köln,
260,Paul Šimić,m,SV Poseidon,2008
261,Paul Šimić,m,Neptun Köln,
262,László Nagy,w,SV Delphin,2013
263,Emma-Maria Krüger,m,Wasserfreunde,2008
264,Džesika Kalniņa,m,Neptun Köln,2011
265,Paul Šimić,m,Neptun Köln,
266,Chloé Lemoine,w,Neptun Köln,
267,Mārtiņš Bērziņš,w,SV Delphin,2006
268,Jiří Novák,w,Wasserfreunde,2006
269,Jiří Novák,m,SV Poseidon,
270,Emma-Maria Krüger,w,Delphin 08,2009
271,Åsa Svensson,m,TSV Schwimmclub,
272,Jiří Novák,w,,2009
273,Mārtiņš Bērziņš,w,Wasserfreunde,
274,Chloé Lemoine,w,,2013
275,Ben Müller,m,SV Poseidon,2006
276,Zoë Schmidt,m,,2013
277,Maximilian,w,SV Poseidon,
278,Mārtiņš Bērziņš,w,,
279,Clàra Méndez,w,Delphin 08,
280,Emma-Maria Krüger,w,Neptun Köln,2007
281,Léa Dubois,w,TSV Schwimmclub,
282,Ole-Jørgen Berg,w,SV Poseidon,2007
283,Noah Zhang,m,Delphin 08,2011
284,László Nagy,m,TSV Schwimmclub,2012
285,Mārtiņš Bērziņš,w,SV Poseidon,
286,Tom O'Connor,m,SV Delphin,
287,Noah Zhang,w,Delphin 08,
288,Clàra Méndez,m,TSV Schwimmclub,
289,Lisa Weiß,w,,
290,Ben Müller,w,,
291,Emma Müller,m,,
292,Clàra Méndez,m,SV Poseidon,2007
293,Emma Müller,w,Neptun Köln,
294,Mia Méndez,m,,2008
295,Džesika Kalniņa,m,,
296,Emma Müller,w,Wasserfreunde,2008
297,Emma-Maria Krüger,m,SV Delphin,2010
298,Ole-Jørgen Berg,w,SV Delphin,
299,Lina Schneider,m,SV Poseidon,
